listing_title,city,area,location,zone,pg_name,shearing,best_suit_for,meals_avilable,notic_period,lock_in_period,amenities_count,comman_area,property_manager_stays,in_time_at_night,non_veg_allowed,opposite_gender_allowed,visitors_allowed,gurdian_allowed,drinking_allowed,smoking_allowed,security_deposite,rent_price
girls pg for rent,nagpur,KT nagar,"KT nagar, nagpur",,surekha dharpal,double,students ,no,30 days,30 days,"parking, independent cupboard, water purifier, wahsing machine, regular water, wifi, daliy cleaning, lift, gated community, security, fridge, microwave, TT table(13)","living room, kitchen, study room, dining hall, breakout room",yes,,yes,no,yes,yes,no,no,10000,5000
girls pg for rent,nagpur,manish nagar,"manish nagar, nagpur",south,modern touch,double,students and working professionals,no,60 days,30 days,"independent cupboard, water purifier, fridge, washing machine, regular water, daily cleaning, wifi, gated cummunity, security, CCTV (10)","living room, kitchen, study room, dining hall, breakout room",yes,,yes,no,yes,yes,no,no,9000,4500
girls pg for rent,nagpur,shubhash nagar,"shubhash nagar, trimurti nagar, nagpur",south,sunita karade,double,students and working professionals,no,15 days,12 months,"regular water, CCTV, parking (3)",kitchen,yes,,yes,no,yes,yes,no,no,3000,3000
girls pg for rent,nagpur,shubhash nagar,"shubhash nagar, trimurti nagar, nagpur",south,sunita karade,double,students and working professionals,no,15 days,12 months,"regular water, CCTV, parking (3)",kitchen,no,,yes,no,yes,yes,no,no,3000,3000
pg for girls and boys,nagpur,mihan,"mihan, nagpur",south,pg ster,double,girls and boys,yes,15 days,0,"parking, lift, gym (3)",all  rooms,no,11:00 PM,yes,yes,yes,yes,no,no,7000,7000
pg for girls and boys,nagpur,wathoda,"wathoda, nagpur",south,neelkamal hostel,double,girls and boys,yes,30 days,0,"AC, cupboard, geyser, cleaning, laundry, parking (6)","kitchen, living room",no,11:00 PM,yes,yes,yes,yes,yes,yes,0,8000
pg for girls and boys,nagpur,zingabai takli,"zingabai takli, nagpur",north,1 BHK for pg,double,girls and boys,no,0,0,"cupboard, parking (2)","kitchen, room",no,10:00 PM,yes,yes,yes,yes,yes,yes,10000,5000
girls pg for rent,nagpur,sadar ,"sadar, nagpur",north,morayya girls hostel ,double,students and working professionals,yes,30 days,0,"cupboard, parking , fridge, water purifier (4)",kitchen,yes,,no,no,yes,yes,no,no,4000,8500
pg for girls and boys,nagpur,besa,"besa, nagpur",south,mishra place pg/hostel,four,girls and boys,yes,0,0,"cupboard, parking (2)",kitchen,yes,,yes,yes,yes,yes,yes,yes,16000,8000
pg for girls and boys,nagpur,friends colony,"friends colony, nagpur",,surekha dharpal,double,girls and boys,no,30 days,0,"power backup, parking, fridge, microwave (4)",,no,,yes,yes,yes,yes,yes,yes,10000,5000
pg for girls and boys,nagpur,wadi,"wadi, nagpur",north,anosh's pg,four,girls and boys,no,0,0,"wifi, daily cleaning, parking, fridge(4)",kitchen,no,,yes,yes,yes,yes,yes,yes,4000,4000
pg for girls and boys,nagpur,nandanwan,"nandanwan, nagpur",west,shubh uday pg/hostels,double,girls and boys,no,0,0,parking (1),,yes,,yes,yes,yes,yes,no,no,2250,2250
girls pg for rent,nagpur,manewada,"manewada, nagpur",south,pg now,private,students and working professionals,yes,30 days,30 days,"water purifier, microwave, fridge, wahsing machine, regular water, wifi, laundry, daily cleaning, security, CCTV, AC, independent cupboard, table chair, attached bathroom , parking(15)","living room, kitchen, dining hall, study room, breakout room",no,9:00 PM,yes,no,yes,yes,no,no,13000,13000
girls pg for rent,nagpur,jaitala,"jaitala, nagpur",north,samarth boys hostel,double,students and working professionals,yes,30 days,5 days,"independent cupboard, tabel chair, TV, balcony, water purifier, fridge, washing machine, regular water, wifi, daily cleaning, gym, lift, security, CCTV, parking (16)","living room, dining hall, study room",yes,10:00 PM,yes,no,yes,yes,no,no,6000,6000
girls pg for rent,nagpur,zingabai takli,"zingabai takli, nagpur",north,stay n study boys pg hostel,triple,students and working professionals,yes,30 days,30 days,"independent cupboard, tabel chair, water purifier, fridge, washing machine, wifi, laundry, daily cleaning, security, CCTV, gated community, parking (12)","dining hall , study room, breakout room",yes,,yes,no,yes,yes,no,no,3000,3000
girls pg for rent,nagpur,omkar nagar,"omkar nagar, nagpur",south,pg now,triple,students and working professionals,yes,30 days,30 days,"water purifier, microwave, fridge, wahsing machine, regular water, wifi, laundry, daily cleaning, security, CCTV, AC, independent cupboard, table chair, attached bathroom , parking(15)",,no,9:00 PM,yes,no,yes,yes,no,no,3000,3000
girls pg for rent,nagpur,khamla,"khamla, nagpur",south,pg now,double,students and working professionals,yes,30 days,30 days,"water purifier, microwave, fridge, wahsing machine, regular water, wifi, laundry, daily cleaning, security, CCTV, AC, independent cupboard, table chair, attached bathroom , parking(15)","living room, kitchen, dining hall, study room, breakout room",yes,9:00 PM,yes,no,yes,yes,no,no,7000,7000
